Device_type,Date_time,D_Week,Voc,CO,Temp,Humi,CO2,CO2_s,PM,,
air_purifier,2023-12-05 18:18,Tuesday,1299.69,2.19,19.2,28.1,0,WU,0,,
air_purifier,2023-12-05 18:23,Tuesday,351.28,2.01,19.2,26.6,0,WU,0,,
air_purifier,2023-12-05 18:24,Tuesday,334.45,2.01,19.2,26.9,0,WU,0,,
air_purifier,2023-12-05 18:25,Tuesday,322.23,2.01,19.2,27,0,WU,0,,
air_purifier,2023-12-05 18:26,Tuesday,314.27,2.01,19.2,26.9,0,WU,0,,
air_purifier,2023-12-05 18:27,Tuesday,310.34,2.01,19.2,26.7,0,WU,0,,
air_purifier,2023-12-05 18:28,Tuesday,314.27,2.01,19.2,26.7,0,WU,0,,
air_purifier,2023-12-05 18:29,Tuesday,310.34,2.01,19.2,26.7,0,WU,0,,
air_purifier,2023-12-05 18:30,Tuesday,306.45,2.01,19.2,26.7,0,WU,0,,
air_purifier,2023-12-05 18:31,Tuesday,302.6,2.01,19.2,26.6,0,WU,0,,
air_purifier,2023-12-05 18:32,Tuesday,302.6,2.01,19.2,26.6,0,WU,0,,
air_purifier,2023-12-06 11:24,Wednesday,1407.23,3.01,20.5,36.1,442,WU,0,,
air_purifier,2023-12-06 11:25,Wednesday,1371.96,2.97,20.6,36.3,438,WU,0,,
air_purifier,2023-12-06 11:26,Wednesday,1292.36,3.01,20.5,36.3,432,WU,0,,
air_purifier,2023-12-06 11:27,Wednesday,1299.69,3.01,20.6,36.3,432,WU,0,,
air_purifier,2023-12-06 11:28,Wednesday,1262.87,2.97,20.6,36.3,432,WU,0,,
air_purifier,2023-12-06 11:29,Wednesday,1240.6,2.97,20.6,36.2,432,WU,0,,
air_purifier,2023-12-06 11:30,Wednesday,1233.16,3.01,20.6,36.2,432,WU,0,,
air_purifier,2023-12-06 11:31,Wednesday,1165.74,3.01,20.6,36.2,432,WU,0,,
air_purifier,2023-12-06 11:32,Wednesday,1143.15,3.01,20.6,36.3,432,WU,0,,
air_purifier,2023-12-06 11:33,Wednesday,1113,2.97,20.6,36.4,432,WU,0,,
air_purifier,2023-12-06 11:34,Wednesday,1090.39,2.97,20.6,36.4,432,WU,0,,
air_purifier,2023-12-06 11:35,Wednesday,1060.27,2.97,20.6,36.4,435,WU,0,,
air_purifier,2023-12-06 11:36,Wednesday,1060.27,2.97,20.6,36.5,445,WU,0,,
air_purifier,2023-12-06 11:37,Wednesday,1060.27,2.97,20.6,36.6,454,WU,0,,
air_purifier,2023-12-06 11:38,Wednesday,1045.23,2.85,20.6,36.6,460,WU,0,,
air_purifier,2023-12-06 11:39,Wednesday,977.93,2.81,20.6,36.6,446,WU,0,,
air_purifier,2023-12-06 11:40,Wednesday,875.22,2.77,20.6,36.6,432,WU,0,,
air_purifier,2023-12-06 11:41,Wednesday,868.01,2.73,20.6,36.5,432,WU,0,,
air_purifier,2023-12-06 11:42,Wednesday,846.5,2.77,20.6,36.4,432,WU,0,,
air_purifier,2023-12-06 11:43,Wednesday,818.12,2.69,20.6,36.3,432,WU,0,,
air_purifier,2023-12-06 11:44,Wednesday,818.12,2.77,20.6,36.3,432,WU,0,,
air_purifier,2023-12-06 11:45,Wednesday,825.19,2.73,20.7,36.4,432,WU,0,,
air_purifier,2023-12-06 11:46,Wednesday,832.27,2.73,20.6,36.4,432,WU,0,,
air_purifier,2023-12-06 11:47,Wednesday,735.31,2.69,20.7,36.5,432,WU,0,,
air_purifier,2023-12-06 11:48,Wednesday,701.96,2.69,20.6,36.5,432,WU,0,,
air_purifier,2023-12-06 11:49,Wednesday,612.71,2.73,20.6,36.5,432,WU,0,,
air_purifier,2023-12-06 11:50,Wednesday,588.4,2.73,20.7,36.6,434,WU,0,,
air_purifier,2023-12-06 11:51,Wednesday,594.42,2.73,20.7,36.5,446,WU,0,,
air_purifier,2023-12-06 11:52,Wednesday,618.87,2.77,20.6,36.5,446,WU,0,,
air_purifier,2023-12-06 11:53,Wednesday,631.3,2.77,20.7,36.6,0,WU,0,,
air_purifier,2023-12-06 11:54,Wednesday,618.87,2.73,20.6,36.6,0,WU,0,,
air_purifier,2023-12-06 11:55,Wednesday,643.86,2.77,20.7,36.4,0,WU,0,,
air_purifier,2023-12-06 11:56,Wednesday,618.87,2.73,20.7,36.4,0,WU,0,,
air_purifier,2023-12-06 11:57,Wednesday,643.86,2.73,20.6,36.4,0,WU,0,,
air_purifier,2023-12-06 11:58,Wednesday,600.48,2.69,20.7,36.4,0,WU,0,,
air_purifier,2023-12-06 11:59,Wednesday,612.71,2.73,20.7,36.4,0,WU,0,,
air_purifier,2023-12-06 12:00,Wednesday,594.42,2.73,20.7,36.4,0,WU,0,,
air_purifier,2023-12-06 12:01,Wednesday,582.41,2.73,20.7,36.6,0,WU,0,,
air_purifier,2023-12-06 12:02,Wednesday,606.58,2.73,20.7,36.5,0,WU,0,,
air_purifier,2023-12-06 12:03,Wednesday,576.46,2.73,20.7,36.4,432,WU,0,,
air_purifier,2023-12-06 12:04,Wednesday,552.99,2.73,20.7,36.4,432,WU,0,,
air_purifier,2023-12-06 12:05,Wednesday,541.48,2.73,20.7,36.5,432,WU,0,,
air_purifier,2023-12-06 12:06,Wednesday,541.48,2.73,20.6,36.5,432,WU,0,,
air_purifier,2023-12-06 12:07,Wednesday,491.48,2.73,20.7,36.5,432,WU,0,,
air_purifier,2023-12-06 12:08,Wednesday,496.89,2.73,20.7,36.4,432,WU,0,,
air_purifier,2023-12-06 12:09,Wednesday,491.48,2.69,20.7,36.4,433,WU,0,,
air_purifier,2023-12-06 12:10,Wednesday,480.79,2.73,20.7,36.4,435,WU,0,,
air_purifier,2023-12-06 12:11,Wednesday,465.02,2.73,20.6,36.4,438,WU,0,,
air_purifier,2023-12-06 12:12,Wednesday,459.84,2.73,20.7,36.4,443,WU,0,,
air_purifier,2023-12-06 12:13,Wednesday,439.51,2.73,20.7,36.4,443,WU,0,,
